date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-10-27,Parramatta,11.5,20.3,13.4,47.974422,8.8,10,0,0,0
2020-10-28,Parramatta,12.3,20.8,0.2,54.022297,8.5,10,0,0,0
2020-10-29,Parramatta,13.6,22.4,12.0,58.893955,8.799999999999999,10,0,0,0
2020-10-30,Parramatta,9.4,22.7,0.8,57.918438,13.299999999999999,10,0,0,0
2020-10-31,Parramatta,12.7,25.2,2.8,73.98933,12.5,10,0,0,0
2020-11-01,Parramatta,12.2,19.7,11.2,57.724464,7.5,11,0,0,0
2020-11-02,Parramatta,12.8,21.8,4.0,58.22717,9.0,11,0,0,0
2020-11-03,Parramatta,10.2,23.4,0.0,57.475628,13.2,11,0,0,0
2020-11-04,Parramatta,10.2,28.8,0.0,59.901356,18.6,11,0,1,0
2020-11-05,Parramatta,14.3,16.2,3.6,54.649223,1.8999999999999986,11,0,0,0
